rank,feature_index,id,length,gc_content,complexity,importance_score,prevalence_pct,n_samples_present,mean_frac_present,median_frac_present,best_hit_species
25,40227,2525913,86,40.69767441860465,1.9731649767609492,3.347869634628296,25.2442996742671,775,0.7346838712692261,1.0,No blast hit
26,35508,2511119,62,53.2258064516129,1.9353651203688242,3.339069128036499,18.14332247557003,557,0.6547396779060364,0.8799999952316284,Acinetobacter sp.
27,63548,2605991,78,48.717948717948715,1.994699362280302,3.321068286895752,36.123778501628664,1109,0.7963480949401855,1.0,No blast hit
28,60405,2594922,86,52.32558139534884,1.9414247493009844,3.3209025859832764,37.94788273615635,1165,0.5824978351593018,0.5400000214576721,Eubacterium minutum
29,61060,2598635,61,60.65573770491803,1.9587451631519053,3.3001654148101807,33.9413680781759,1042,0.7532437443733215,1.0,No blast hit
30,86507,2684330,61,52.459016393442624,1.9270927902240995,3.2822630405426025,24.62540716612378,756,0.7760846018791199,1.0,Uncultured bacterium
31,56071,2580978,63,50.79365079365079,1.917984425657251,3.252300262451172,40.26058631921824,1236,0.5881472826004028,0.6700000166893005,Arachnia propionica
32,105344,2748481,64,53.125,1.9898244583898188,3.2377548217773438,28.925081433224754,888,0.5381644368171692,0.5600000023841858,No blast hit
33,34819,2506793,66,54.54545454545454,1.9362600275315274,3.1802403926849365,34.88599348534202,1071,0.6725677251815796,1.0,Streptococcus parasanguinis
34,96298,2716541,80,51.24999999999999,1.948667609804581,3.1736373901367188,29.77198697068404,914,0.4233260154724121,0.2800000011920929,Selenomonas infelix
35,37361,2517232,82,47.5609756097561,1.9869655841585008,3.16957688331604,48.469055374592834,1488,0.7508669495582581,1.0,No blast hit
36,83626,2673571,85,57.647058823529406,1.9533984015945791,3.149482488632202,33.06188925081433,1015,0.5555369257926941,0.550000011920929,Arachnia propionica
37,54110,2570952,61,55.73770491803278,1.9668803111438047,3.1442623138427734,23.973941368078176,736,0.6088587045669556,0.6800000071525574,No blast hit
38,5799,2390147,61,40.98360655737705,1.9708322921448431,3.118783473968506,29.6742671009772,911,0.801986813545227,1.0,Naegleria fowleri
39,41084,2529265,61,52.459016393442624,1.870832140157877,3.1117329597473145,33.25732899022801,1021,0.6738883256912231,0.7699999809265137,Pseudopropionibacterium propionicum
40,92889,2705683,89,35.95505617977528,1.8748261263665928,3.0997278690338135,28.794788273615634,884,0.7203958630561829,0.9800000190734863,No blast hit
41,11194,2417721,77,51.94805194805194,1.996623501805323,3.0773940086364746,23.941368078175895,735,0.6354013681411743,0.6800000071525574,MAG: Steroidobacteraceae
42,37425,2517329,91,58.24175824175825,1.96124653248372,3.054839611053467,39.413680781758956,1210,0.5835785269737244,0.5099999904632568,No blast hit
43,5039,2385778,79,58.22784810126582,1.9778837995858116,3.0526061058044434,27.78501628664495,853,0.5511957406997681,0.4699999988079071,Pseudopropionibacterium propionicum
44,105395,2748556,61,54.09836065573771,1.9708322921448431,3.0524821281433105,33.32247557003257,1023,0.5706842541694641,0.5799999833106995,No blast hit
45,25004,2466523,62,50.0,1.9501997936563944,3.035095453262329,38.501628664495115,1182,0.7259560227394104,0.9399999976158142,No blast hit
46,22015,2454622,77,46.75324675324675,1.9685299213365357,3.0287375450134277,21.498371335504885,660,0.6800454258918762,0.9800000190734863,Clostridium butyricum
47,65915,2614178,62,59.67741935483871,1.923966973111092,3.0221829414367676,31.302931596091206,961,0.6117273569107056,0.7200000286102295,Cutibacterium acnes
48,55247,2576623,96,51.041666666666664,1.994301498523218,3.0213112831115723,36.22149837133551,1112,0.5074100494384766,0.4699999988079071,No blast hit
49,34788,2506732,61,54.09836065573771,1.9383414873687372,3.0109009742736816,30.26058631921824,929,0.6513670682907104,0.8100000023841858,Schaalia odontolytica
50,11007,2417501,67,61.19402985074627,1.9552967437005597,2.9827752113342285,39.47882736156352,1212,0.7027557492256165,0.949999988079071,Arachnia propionica
51,7016,2392895,77,68.83116883116884,1.8680548191107322,2.938056468963623,42.63843648208469,1309,0.4205806255340576,0.30000001192092896,No blast hit
52,31929,2489735,99,62.62626262626263,1.9419090509717623,2.8868532180786133,29.315960912052116,900,0.5465888977050781,0.5600000023841858,No blast hit
53,101395,2733414,64,54.6875,1.9668821908001721,2.8623194694519043,30.45602605863192,935,0.48032087087631226,0.5,Bacillus velezensis
54,55968,2580706,62,50.0,1.9962415338676816,2.840885639190674,23.02931596091205,707,0.7066195607185364,0.7200000286102295,No blast hit
55,50841,2562375,66,63.63636363636363,1.9396666665465763,2.8379244804382324,30.944625407166125,950,0.5185579061508179,0.4300000071525574,No blast hit
56,71228,2631981,88,62.5,1.932714602530754,2.833435535430908,24.429967426710096,750,0.4984266757965088,0.4699999988079071,Arachnia propionica
57,75809,2647627,63,49.2063492063492,1.9694654837736065,2.792679786682129,23.713355048859935,728,0.5995604395866394,0.699999988079071,Fusarium sp.
58,3041,2379160,88,63.63636363636363,1.9357980901330296,2.7919766902923584,35.27687296416938,1083,0.4433518350124359,0.36000001430511475,Arachnia propionica
59,35356,2510694,61,67.21311475409836,1.8536146904174111,2.7737839221954346,29.86970684039088,917,0.6752235293388367,1.0,Streptomyces harbinensis
60,23694,2461301,79,48.10126582278481,1.9473647920769717,2.7555038928985596,25.570032573289904,785,0.6348789930343628,0.7599999904632568,No blast hit
61,97570,2721879,102,62.745098039215684,1.87896906884429,2.7434000968933105,32.182410423452765,988,0.3827732801437378,0.25,No blast hit
62,41110,2529501,71,49.29577464788733,1.9995665789534056,2.732809543609619,33.127035830618894,1017,0.38401177525520325,0.17000000178813934,No blast hit
63,83577,2673505,76,73.68421052631578,1.8211156641201933,2.731198310852051,20.749185667752442,637,0.5782888531684875,0.6299999952316284,MAG: uncultured
64,81940,2667705,94,50.0,1.985222246066683,2.721208095550537,39.185667752442995,1203,0.543358325958252,0.5299999713897705,Tannerella forsythia
65,71530,2632330,64,70.3125,1.8645209157976412,2.711422920227051,30.4885993485342,936,0.5545512437820435,0.5299999713897705,No blast hit
66,14338,2428611,67,37.3134328358209,1.9151848943827052,2.7084381580352783,24.462540716612377,751,0.5505326390266418,0.5400000214576721,No blast hit
67,32623,2491491,65,63.07692307692307,1.9457896206239447,2.7052550315856934,25.993485342019543,798,0.504298210144043,0.4000000059604645,No blast hit
68,60481,2595005,93,56.98924731182796,1.98143313156004,2.688326358795166,30.0,921,0.5042345523834229,0.3199999928474426,No blast hit
69,59233,2590710,86,48.837209302325576,1.880585025224502,2.670093536376953,44.5928338762215,1369,0.7657852172851562,1.0,No blast hit
70,89294,2693636,64,59.375,1.9627712356445657,2.632995128631592,29.60912052117264,909,0.4616721570491791,0.28999999165534973,Clostridium cochlearium
71,473,2369877,61,49.18032786885246,1.1034990673875955,2.6291301250457764,30.814332247557005,946,0.4918498694896698,0.38999998569488525,No blast hit
72,90963,2699365,79,65.82278481012658,1.9116652842148096,2.621797561645508,36.77524429967427,1129,0.5282905101776123,0.49000000953674316,No blast hit
73,61739,2600048,69,57.971014492753625,1.963086607495898,2.615380048751831,36.384364820846905,1117,0.4065801203250885,0.3100000023841858,Gemella morbillorum
74,105830,2749102,63,47.61904761904761,1.924704223104421,2.6137959957122803,20.71661237785016,636,0.6251729130744934,0.7300000190734863,Streptococcus agalactiae
75,41089,2529298,61,52.459016393442624,1.9844641091334345,2.611206531524658,26.384364820846905,810,0.46491360664367676,0.38999998569488525,No blast hit
76,101463,2733511,70,61.42857142857143,1.952531135294716,2.568842887878418,36.351791530944624,1116,0.4334408640861511,0.3799999952316284,No blast hit
77,1750,2374570,61,57.377049180327866,1.9547417496396882,2.568523645401001,29.54397394136808,907,0.7562183141708374,1.0,No blast hit
78,102615,2738669,66,37.878787878787875,1.900340007991461,2.5585684776306152,20.521172638436482,630,0.5793175101280212,0.5600000023841858,No blast hit
79,3928,2382614,64,67.1875,1.842341759976635,2.5553722381591797,27.78501628664495,853,0.6741032004356384,0.8500000238418579,No blast hit
80,49573,2557712,96,57.291666666666664,1.9762405840050152,2.54701566696167,19.185667752442995,589,0.635908305644989,0.699999988079071,Phreatobacter stygius
81,31893,2489691,74,54.054054054054056,1.9931298702270075,2.540419578552246,25.27687296416938,776,0.5524226427078247,0.5,Corynebacterium pseudotuberculosis
82,16753,2436106,61,47.540983606557376,1.9587451631519053,2.5357706546783447,34.039087947882734,1045,0.5796459317207336,0.5799999833106995,No blast hit
83,35561,2511206,73,64.38356164383562,1.9085116613195423,2.5277419090270996,22.70358306188925,697,0.6604447960853577,0.7699999809265137,No blast hit
84,51721,2564180,72,65.27777777777779,1.8723282349712431,2.523261308670044,33.90879478827362,1041,0.4817963242530823,0.36000001430511475,No blast hit
85,99091,2726756,66,56.060606060606055,1.961809115813727,2.5217363834381104,31.107491856677523,955,0.4703141748905182,0.38999998569488525,Uncultured bacterium
86,54628,2575413,61,50.81967213114754,1.966665652338337,2.5207247734069824,28.729641693811075,882,0.49040815234184265,0.44999998807907104,No blast hit
87,66098,2614914,71,47.88732394366197,1.99504176422349,2.520686388015747,23.745928338762216,729,0.46319612860679626,0.27000001072883606,No blast hit
88,24983,2466493,62,54.83870967741935,1.990200741097785,2.519462823867798,23.973941368078176,736,0.5248504877090454,0.4699999988079071,No blast hit
89,64069,2606528,91,59.34065934065934,1.9531468973572383,2.507145643234253,27.42671009771987,842,0.44047507643699646,0.2900000214576721,Rothia mucilaginosa
90,43007,2536092,74,59.45945945945946,1.9178990630460981,2.504509925842285,30.846905537459282,947,0.4921647608280182,0.4099999964237213,No blast hit
91,9544,2402872,64,29.6875,1.7835262140986152,2.4922404289245605,20.618892508143322,633,0.6276302933692932,0.6499999761581421,Bacteroides zoogleoformans
92,104255,2743630,64,42.1875,1.7914111814067473,2.483586549758911,31.72638436482085,974,0.7931622862815857,1.0,No blast hit
93,58312,2587780,91,56.043956043956044,1.9501053789598406,2.476137638092041,32.05211726384365,984,0.4932520091533661,0.3400000035762787,No blast hit
94,44743,2540816,63,58.730158730158735,1.9751074969813227,2.4755406379699707,44.00651465798045,1351,0.8395929336547852,1.0,No blast hit
95,60694,2595220,109,68.80733944954129,1.8649143241267923,2.4649124145507812,35.21172638436482,1081,0.4470490515232086,0.33000001311302185,Arachnia propionica
96,17443,2439615,98,65.3061224489796,1.9230096158766796,2.460975170135498,32.63843648208469,1002,0.416946142911911,0.3400000035762787,No blast hit
97,44502,2539970,61,44.26229508196721,1.9233249840877744,2.455486536026001,26.938110749185668,827,0.8096372485160828,1.0,Streptococcus oralis
98,24825,2466180,66,66.66666666666666,1.9153119704918964,2.4542109966278076,30.293159609120522,930,0.5618279576301575,0.5799999833106995,No blast hit
99,31993,2489817,76,53.94736842105263,1.9800360245934658,2.4306602478027344,32.47557003257329,997,0.4788164496421814,0.3700000047683716,No blast hit
100,92494,2704547,66,25.757575757575758,1.7662481541382622,2.4264543056488037,23.061889250814332,708,0.5389971733093262,0.48500001430511475,No blast hit
