Run_accession	sample_type	community_type	feature	sample_host	material	sample_age	latitude	longitude	project_name	publication_year	geo_loc_name	sample_name	archive_project	archive_sample_accession
ERR3678180	ancient_metagenome	oral		Gorilla gorilla gorilla	dental calculus	200.0	-1.46	29.42	FellowsYates2021	2021	Democratic Republic of the Congo	MTM010.A	PRJEB34569	ERS3774398
ERR3579699	ancient_metagenome	oral		Gorilla gorilla gorilla	dental calculus	200.0	3.98	13.18	FellowsYates2021	2021	Cameroon	ABM006.A	PRJEB34569	ERS3774399
ERR3579713	ancient_metagenome	oral		Gorilla gorilla gorilla	dental calculus	200.0	3.41	13.53	FellowsYates2021	2021	Cameroon	DJA002.A	PRJEB34569	ERS3774400
ERR3579714	ancient_metagenome	oral		Gorilla gorilla gorilla	dental calculus	200.0	3.41	13.53	FellowsYates2021	2021	Cameroon	DJA002.A	PRJEB34569	ERS3774400
ERR3579721	ancient_metagenome	oral		Gorilla gorilla gorilla	dental calculus	200.0	2.91	11.15	FellowsYates2021	2021	Cameroon	EBO001.A	PRJEB34569	ERS3774401
ERR3579722	ancient_metagenome	oral		Gorilla gorilla gorilla	dental calculus	200.0	2.91	11.15	FellowsYates2021	2021	Cameroon	EBO003.A	PRJEB34569	ERS3774402
ERR3579723	ancient_metagenome	oral		Gorilla gorilla gorilla	dental calculus	200.0	2.91	11.15	FellowsYates2021	2021	Cameroon	EBO003.A	PRJEB34569	ERS3774402
ERR3579749	ancient_metagenome	oral		Gorilla gorilla gorilla	dental calculus	200.0			FellowsYates2021	2021	Democratic Republic of the Congo	GDC002.A	PRJEB34569	ERS3774403
ERR3579750	ancient_metagenome	oral		Gorilla gorilla gorilla	dental calculus	200.0			FellowsYates2021	2021	Democratic Republic of the Congo	GDC004.A	PRJEB34569	ERS3774404
ERR3579751	ancient_metagenome	oral		Gorilla gorilla gorilla	dental calculus	200.0			FellowsYates2021	2021	Democratic Republic of the Congo	GDC005.A	PRJEB34569	ERS3774405
ERR3579676	ancient_metagenome	oral		Gorilla beringei graueri	dental calculus	200.0	1.45	25.27	FellowsYates2021	2021	Democratic Republic of the Congo	LOB001.A	PRJEB34569	ERS3774406
ERR3678175	ancient_metagenome	oral		Gorilla beringei graueri	dental calculus	200.0	1.45	25.27	FellowsYates2021	2021	Democratic Republic of the Congo	LOB001.A	PRJEB34569	ERS3774406
ERR3579705	ancient_metagenome	oral		Gorilla beringei graueri	dental calculus	200.0	-0.56	27.03	FellowsYates2021	2021	Democratic Republic of the Congo	BIT001.A	PRJEB34569	ERS3774407
ERR3579706	ancient_metagenome	oral		Gorilla beringei graueri	dental calculus	200.0	-0.56	27.03	FellowsYates2021	2021	Democratic Republic of the Congo	BIT001.A	PRJEB34569	ERS3774407
ERR3579743	ancient_metagenome	oral		Gorilla beringei graueri	dental calculus	200.0			FellowsYates2021	2021	Democratic Republic of the Congo	FDM001.A	PRJEB34569	ERS3774408
ERR3579744	ancient_metagenome	oral		Gorilla beringei graueri	dental calculus	200.0			FellowsYates2021	2021	Democratic Republic of the Congo	FDM001.A	PRJEB34569	ERS3774408
ERR3579755	ancient_metagenome	oral		Gorilla beringei graueri	dental calculus	200.0	-0.06	29.16	FellowsYates2021	2021	Democratic Republic of the Congo	IBA001.A	PRJEB34569	ERS3774409
ERR3579756	ancient_metagenome	oral		Gorilla beringei graueri	dental calculus	200.0	-0.06	29.16	FellowsYates2021	2021	Democratic Republic of the Congo	IBA001.A	PRJEB34569	ERS3774409
ERR3579757	ancient_metagenome	oral		Gorilla beringei graueri	dental calculus	200.0	-0.06	29.16	FellowsYates2021	2021	Democratic Republic of the Congo	IBA002.A	PRJEB34569	ERS3774410
ERR3579758	ancient_metagenome	oral		Gorilla beringei graueri	dental calculus	200.0	-0.06	29.16	FellowsYates2021	2021	Democratic Republic of the Congo	IBA002.A	PRJEB34569	ERS3774410
ERR3579828	ancient_metagenome	oral		Gorilla beringei graueri	dental calculus	200.0			FellowsYates2021	2021	Democratic Republic of the Congo	WAL001.A	PRJEB34569	ERS3774411
ERR3579829	ancient_metagenome	oral		Gorilla beringei graueri	dental calculus	200.0			FellowsYates2021	2021	Democratic Republic of the Congo	WAL001.A	PRJEB34569	ERS3774411
ERR3579671	ancient_metagenome	oral		Pan troglodytes verus	dental calculus	200.0			FellowsYates2021	2021	Liberia	CDC005.A	PRJEB34569	ERS3774412
ERR3678173	ancient_metagenome	oral		Pan troglodytes verus	dental calculus	200.0			FellowsYates2021	2021	Liberia	CDC005.A	PRJEB34569	ERS3774412
ERR3579708	ancient_metagenome	oral		Pan troglodytes verus	dental calculus	200.0			FellowsYates2021	2021	Liberia	CDC006.A	PRJEB34569	ERS3774413
ERR3579709	ancient_metagenome	oral		Pan troglodytes verus	dental calculus	200.0			FellowsYates2021	2021	Liberia	CDC007.A	PRJEB34569	ERS3774414
ERR3579710	ancient_metagenome	oral		Pan troglodytes verus	dental calculus	200.0			FellowsYates2021	2021	Liberia	CDC008.A	PRJEB34569	ERS3774415
ERR3579711	ancient_metagenome	oral		Pan troglodytes verus	dental calculus	200.0			FellowsYates2021	2021	Liberia	CDC009.A	PRJEB34569	ERS3774416
ERR3579712	ancient_metagenome	oral		Pan troglodytes verus	dental calculus	200.0			FellowsYates2021	2021	Liberia	CDC010.A	PRJEB34569	ERS3774417
ERR3579672	ancient_metagenome	oral		Pan troglodytes verus	dental calculus	200.0			FellowsYates2021	2021	Liberia	CDC011.A	PRJEB34569	ERS3774418
ERR3678174	ancient_metagenome	oral		Pan troglodytes verus	dental calculus	200.0			FellowsYates2021	2021	Liberia	CDC011.A	PRJEB34569	ERS3774418
ERR3579759	ancient_metagenome	oral		Pan troglodytes schweinfurthii	dental calculus	200.0	0.48	30.38	FellowsYates2021	2021	Uganda	KNP001.A	PRJEB34569	ERS3774419
ERR3579760	ancient_metagenome	oral		Pan troglodytes schweinfurthii	dental calculus	200.0	0.48	30.38	FellowsYates2021	2021	Uganda	KNP001.A	PRJEB34569	ERS3774419
ERR3579761	ancient_metagenome	oral		Pan troglodytes schweinfurthii	dental calculus	200.0	0.48	30.38	FellowsYates2021	2021	Uganda	KNP001.A	PRJEB34569	ERS3774419
ERR3579762	ancient_metagenome	oral		Pan troglodytes schweinfurthii	dental calculus	200.0	0.48	30.38	FellowsYates2021	2021	Uganda	KNP003.A	PRJEB34569	ERS3774420
ERR3579763	ancient_metagenome	oral		Pan troglodytes schweinfurthii	dental calculus	200.0	0.48	30.38	FellowsYates2021	2021	Uganda	KNP004.A	PRJEB34569	ERS3774421
ERR3579764	ancient_metagenome	oral		Pan troglodytes schweinfurthii	dental calculus	200.0	0.48	30.38	FellowsYates2021	2021	Uganda	KNP004.A	PRJEB34569	ERS3774421
ERR3579765	ancient_metagenome	oral		Pan troglodytes schweinfurthii	dental calculus	200.0	0.48	30.38	FellowsYates2021	2021	Uganda	KNP004.A	PRJEB34569	ERS3774421
ERR3579675	ancient_metagenome	oral		Pan troglodytes schweinfurthii	dental calculus	200.0	0.48	30.38	FellowsYates2021	2021	Uganda	KNP005.A	PRJEB34569	ERS3774422
ERR3579766	ancient_metagenome	oral		Pan troglodytes schweinfurthii	dental calculus	200.0	0.48	30.38	FellowsYates2021	2021	Uganda	KNP005.A	PRJEB34569	ERS3774422
ERR3579767	ancient_metagenome	oral		Pan troglodytes schweinfurthii	dental calculus	200.0	0.48	30.38	FellowsYates2021	2021	Uganda	KNP005.A	PRJEB34569	ERS3774422
ERR3579768	ancient_metagenome	oral		Pan troglodytes schweinfurthii	dental calculus	200.0	0.48	30.38	FellowsYates2021	2021	Uganda	KNP006.A	PRJEB34569	ERS3774423
ERR3579700	ancient_metagenome	oral		Pan troglodytes ellioti	dental calculus	200.0	3.98	13.18	FellowsYates2021	2021	Cameroon	ABM007.A	PRJEB34569	ERS3774426
ERR3579701	ancient_metagenome	oral		Pan troglodytes ellioti	dental calculus	200.0	3.98	13.18	FellowsYates2021	2021	Cameroon	ABM007.A	PRJEB34569	ERS3774426
ERR3579702	ancient_metagenome	oral		Pan troglodytes ellioti	dental calculus	200.0	3.98	13.18	FellowsYates2021	2021	Cameroon	ABM008.A	PRJEB34569	ERS3774427
ERR3579703	ancient_metagenome	oral		Pan troglodytes ellioti	dental calculus	200.0	3.98	13.18	FellowsYates2021	2021	Cameroon	ABM008.A	PRJEB34569	ERS3774427
ERR3579715	ancient_metagenome	oral		Pan troglodytes ellioti	dental calculus	200.0	3.41	13.53	FellowsYates2021	2021	Cameroon	DJA006.A	PRJEB34569	ERS3774428
ERR3579716	ancient_metagenome	oral		Pan troglodytes ellioti	dental calculus	200.0	3.41	13.53	FellowsYates2021	2021	Cameroon	DJA006.A	PRJEB34569	ERS3774428
ERR3579726	ancient_metagenome	oral		Pan troglodytes ellioti	dental calculus	200.0	2.91	11.15	FellowsYates2021	2021	Cameroon	EBO009.A	PRJEB34569	ERS3774431
ERR3579727	ancient_metagenome	oral		Pan troglodytes ellioti	dental calculus	200.0	2.91	11.15	FellowsYates2021	2021	Cameroon	EBO009.A	PRJEB34569	ERS3774431
ERR3579704	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	66000.0	42.119	2.766	FellowsYates2021	2021	Spain	BAN001.A	PRJEB34569	ERS3774432
ERR3579745	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	49000.0	45.591	10.905	FellowsYates2021	2021	Italy	FUM001.A	PRJEB34569	ERS3774433
ERR3579746	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	48000.0	45.591	10.905	FellowsYates2021	2021	Italy	FUM002.A	PRJEB34569	ERS3774434
ERR3579747	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	48000.0	45.591	10.905	FellowsYates2021	2021	Italy	FUM002.A	PRJEB34569	ERS3774434
ERR3579748	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	48000.0	45.591	10.905	FellowsYates2021	2021	Italy	FUM003.A	PRJEB34569	ERS3774435
ERR3579752	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	70000.0	45.442	11.518	FellowsYates2021	2021	Italy	GDN001.A	PRJEB34569	ERS3774436
ERR3579753	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	70000.0	45.442	11.518	FellowsYates2021	2021	Italy	GDN001.B	PRJEB34569	ERS3774437
ERR3579673	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	42800.0	50.433	5.0	FellowsYates2021	2021	Belgium	GOY005.A	PRJEB34569	ERS3774438
ERR3678727	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	42800.0	50.433	5.0	FellowsYates2021	2021	Belgium	GOY005.A	PRJEB34569	ERS3774438
ERR3579674	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	42800.0	50.433	5.0	FellowsYates2021	2021	Belgium	GOY006.A	PRJEB34569	ERS3774439
ERR3579754	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	44000.0	43.314	-5.066	FellowsYates2021	2021	Spain	GUE001.A	PRJEB34569	ERS3774440
ERR3579688	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	102000.0	43.166	21.9	FellowsYates2021	2021	Serbia	PES001.B	PRJEB34569	ERS3774441
ERR3678187	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	102000.0	43.166	21.9	FellowsYates2021	2021	Serbia	PES001.B	PRJEB34569	ERS3774441
ERR3579807	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	55000.0	37.743	-0.953	FellowsYates2021	2021	Spain	SPM001.A	PRJEB34569	ERS3774442
ERR3579827	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	48000.0	42.541	-0.086	FellowsYates2021	2021	Spain	VLD001.A	PRJEB34569	ERS3774444
ERR3579830	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	46000.0	36.951	-4.127	FellowsYates2021	2021	Spain	ZAF001.A	PRJEB34569	ERS3774445
ERR3579784	ancient_metagenome	oral		Homo sapiens	dental calculus	5500.0	-33.9	22.5	FellowsYates2021	2021	South Africa	OAK001.A	PRJEB34569	ERS3774446
ERR3579785	ancient_metagenome	oral		Homo sapiens	dental calculus	6100.0	-33.9	22.5	FellowsYates2021	2021	South Africa	OAK002.A	PRJEB34569	ERS3774447
ERR3579786	ancient_metagenome	oral		Homo sapiens	dental calculus	6100.0	-33.9	22.5	FellowsYates2021	2021	South Africa	OAK002.A	PRJEB34569	ERS3774447
ERR3579787	ancient_metagenome	oral		Homo sapiens	dental calculus	6200.0	-33.9	22.5	FellowsYates2021	2021	South Africa	OAK003.A	PRJEB34569	ERS3774448
ERR3579788	ancient_metagenome	oral		Homo sapiens	dental calculus	6400.0	-33.9	22.5	FellowsYates2021	2021	South Africa	OAK004.A	PRJEB34569	ERS3774449
ERR3579789	ancient_metagenome	oral		Homo sapiens	dental calculus	7500.0	-33.9	22.5	FellowsYates2021	2021	South Africa	OAK005.A	PRJEB34569	ERS3774450
ERR3579790	ancient_metagenome	oral		Homo sapiens	dental calculus	7500.0	-33.9	22.5	FellowsYates2021	2021	South Africa	OAK005.A	PRJEB34569	ERS3774450
ERR3579809	ancient_metagenome	oral		Homo sapiens	dental calculus	14500.0	34.814	-2.404	FellowsYates2021	2021	Morocco	TAF008.B	PRJEB34569	ERS3774451
ERR3579810	ancient_metagenome	oral		Homo sapiens	dental calculus	14500.0	34.814	-2.404	FellowsYates2021	2021	Morocco	TAF008.B	PRJEB34569	ERS3774451
ERR3579811	ancient_metagenome	oral		Homo sapiens	dental calculus	14500.0	34.814	-2.404	FellowsYates2021	2021	Morocco	TAF016.B	PRJEB34569	ERS3774452
ERR3579812	ancient_metagenome	oral		Homo sapiens	dental calculus	14500.0	34.814	-2.404	FellowsYates2021	2021	Morocco	TAF017.A	PRJEB34569	ERS3774453
ERR3579813	ancient_metagenome	oral		Homo sapiens	dental calculus	14500.0	34.814	-2.404	FellowsYates2021	2021	Morocco	TAF017.C	PRJEB34569	ERS3774454
ERR3579814	ancient_metagenome	oral		Homo sapiens	dental calculus	14500.0	34.814	-2.404	FellowsYates2021	2021	Morocco	TAF017.C	PRJEB34569	ERS3774454
ERR3579815	ancient_metagenome	oral		Homo sapiens	dental calculus	14500.0	34.814	-2.404	FellowsYates2021	2021	Morocco	TAF017.E	PRJEB34569	ERS3774455
ERR3579816	ancient_metagenome	oral		Homo sapiens	dental calculus	14500.0	34.814	-2.404	FellowsYates2021	2021	Morocco	TAF017.E	PRJEB34569	ERS3774455
ERR3579817	ancient_metagenome	oral		Homo sapiens	dental calculus	14500.0	34.814	-2.404	FellowsYates2021	2021	Morocco	TAF018.A	PRJEB34569	ERS3774456
ERR3579818	ancient_metagenome	oral		Homo sapiens	dental calculus	14500.0	34.814	-2.404	FellowsYates2021	2021	Morocco	TAF018.B	PRJEB34569	ERS3774457
ERR3579728	ancient_metagenome	oral		Homo sapiens	dental calculus	9500.0	38.919	-0.121	FellowsYates2021	2021	Spain	ECO002.B	PRJEB34569	ERS3774458
ERR3579729	ancient_metagenome	oral		Homo sapiens	dental calculus	9500.0	38.919	-0.121	FellowsYates2021	2021	Spain	ECO002.B	PRJEB34569	ERS3774458
ERR3579730	ancient_metagenome	oral		Homo sapiens	dental calculus	9500.0	38.919	-0.121	FellowsYates2021	2021	Spain	ECO002.C	PRJEB34569	ERS3774459
ERR3579731	ancient_metagenome	oral		Homo sapiens	dental calculus	9300.0	38.919	-0.121	FellowsYates2021	2021	Spain	ECO004.B	PRJEB34569	ERS3774460
ERR3579732	ancient_metagenome	oral		Homo sapiens	dental calculus	9300.0	38.919	-0.121	FellowsYates2021	2021	Spain	ECO004.B	PRJEB34569	ERS3774460
ERR3579733	ancient_metagenome	oral		Homo sapiens	dental calculus	9300.0	38.919	-0.121	FellowsYates2021	2021	Spain	ECO004.C	PRJEB34569	ERS3774461
ERR3579734	ancient_metagenome	oral		Homo sapiens	dental calculus	9300.0	38.919	-0.121	FellowsYates2021	2021	Spain	ECO006.B	PRJEB34569	ERS3774462
ERR3579735	ancient_metagenome	oral		Homo sapiens	dental calculus	9000.0	38.919	-0.121	FellowsYates2021	2021	Spain	ECO010.B	PRJEB34569	ERS3774463
ERR3579677	ancient_metagenome	oral		Homo sapiens	dental calculus	4500.0	7.29	37.47	FellowsYates2021	2021	Ethiopia	MOA001.A	PRJEB34569	ERS3774465
ERR3579678	ancient_metagenome	oral		Homo sapiens	dental calculus	4500.0	7.29	37.47	FellowsYates2021	2021	Ethiopia	MOA001.A	PRJEB34569	ERS3774465
ERR3678176	ancient_metagenome	oral		Homo sapiens	dental calculus	4500.0	7.29	37.47	FellowsYates2021	2021	Ethiopia	MOA001.A	PRJEB34569	ERS3774465
ERR3678177	ancient_metagenome	oral		Homo sapiens	dental calculus	4500.0	7.29	37.47	FellowsYates2021	2021	Ethiopia	MOA001.A	PRJEB34569	ERS3774465
ERR3579719	ancient_metagenome	oral		Homo sapiens	dental calculus	31000.0	48.883	16.65	FellowsYates2021	2021	Czechia	DLV001.A	PRJEB34569	ERS3774466
ERR3579720	ancient_metagenome	oral		Homo sapiens	dental calculus	31000.0	48.883	16.650086	FellowsYates2021	2021	Czechia	DLV002.A	PRJEB34569	ERS3774467
ERR3579791	ancient_metagenome	oral		Homo sapiens	dental calculus	9200.0	48.818	10.45	FellowsYates2021	2021	Germany	OFN001.A	PRJEB34569	ERS3774468
ERR3579800	ancient_metagenome	oral		Homo sapiens	dental calculus	29500.0	48.873	16.672	FellowsYates2021	2021	Czechia	PLV001.A	PRJEB34569	ERS3774469
ERR3579806	ancient_metagenome	oral		Homo sapiens	dental calculus	15400.0	47.383	6.166	FellowsYates2021	2021	France	RIG001.A	PRJEB34569	ERS3774470
ERR3579738	ancient_metagenome	oral		Homo sapiens	dental calculus	300.0	31.51	-9.76	FellowsYates2021	2021	Morocco	ESA003.A	PRJEB34569	ERS3774471
ERR3579740	ancient_metagenome	oral		Homo sapiens	dental calculus	300.0	31.51	-9.76	FellowsYates2021	2021	Morocco	ESA006.A	PRJEB34569	ERS3774473
ERR3579741	ancient_metagenome	oral		Homo sapiens	dental calculus	300.0	31.51	-9.76	FellowsYates2021	2021	Morocco	ESA007.A	PRJEB34569	ERS3774474
ERR3579742	ancient_metagenome	oral		Homo sapiens	dental calculus	300.0	31.51	-9.76	FellowsYates2021	2021	Morocco	ESA008.A	PRJEB34569	ERS3774475
ERR3579707	ancient_metagenome	oral		Homo sapiens	dental calculus	200.0	43.04	-2.67	FellowsYates2021	2021	Spain	BSQ001.A	PRJEB34569	ERS3774476
ERR3579774	ancient_metagenome	oral		Homo sapiens	dental calculus	300.0	31.51	-9.76	FellowsYates2021	2021	Portugal	LIS002.A	PRJEB34569	ERS3774478
ERR3579775	ancient_metagenome	oral		Homo sapiens	dental calculus	300.0	31.51	-9.76	FellowsYates2021	2021	Portugal	LIS003.A	PRJEB34569	ERS3774479
ERR3579801	ancient_metagenome	oral		Homo sapiens	dental calculus	200.0	-34.03	18.46	FellowsYates2021	2021	South Africa	PYK001.A	PRJEB34569	ERS3774480
ERR3579802	ancient_metagenome	oral		Homo sapiens	dental calculus	200.0	-34.03	18.46	FellowsYates2021	2021	South Africa	PYK002.A	PRJEB34569	ERS3774481
ERR3579803	ancient_metagenome	oral		Homo sapiens	dental calculus	200.0	-34.03	18.46	FellowsYates2021	2021	South Africa	PYK003.A	PRJEB34569	ERS3774482
ERR3579804	ancient_metagenome	oral		Homo sapiens	dental calculus	200.0	-34.03	18.46	FellowsYates2021	2021	South Africa	PYK004.A	PRJEB34569	ERS3774483
ERR3579805	ancient_metagenome	oral		Homo sapiens	dental calculus	200.0	-34.03	18.46	FellowsYates2021	2021	South Africa	PYK005.A	PRJEB34569	ERS3774484
SRR13263122	ancient_metagenome	oral		Pan troglodytes	dental calculus	100.0	7.657	-10.841	Weyrich2017	2017	Sierra Leone	Chimp	PRJNA685265	SRS7890499
SRR13263123	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	49000.0	43.386	-5.328	Weyrich2017	2017	Spain	ElSidron1	PRJNA685265	SRS7890498
SRR13263124	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	49000.0	43.386	-5.329	Weyrich2017	2017	Spain	ElSidron2	PRJNA685265	SRS7890496
SRR13263130	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	35800.0	50.48	4.674	Weyrich2017	2017	Belgium	Spy1	PRJNA685265	SRS7890491
SRR13263131	ancient_metagenome	oral		Homo sapiens neanderthalensis	dental calculus	36000.0	50.48	4.674	Weyrich2017	2017	Belgium	Spy2	PRJNA685265	SRS7890487
SRR13263128	ancient_metagenome	oral		Homo sapiens	dental calculus	7600.0	53.96	21.86	Weyrich2017	2017	Poland	EuroHG1	PRJNA685265	SRS7890494
SRR13263132	ancient_metagenome	oral		Homo sapiens	dental calculus	7600.0	53.96	21.86	Weyrich2017	2017	Poland	EuroHG2	PRJNA685265	SRS7890489
SRR13263134	ancient_metagenome	oral		Homo sapiens	dental calculus	7400.0	48.839	9.227	Weyrich2017	2017	Germany	EuroLBK1	PRJNA685265	SRS7890488
SRR13263135	ancient_metagenome	oral		Homo sapiens	dental calculus	7400.0	48.839	9.227	Weyrich2017	2017	Germany	EuroLBK2	PRJNA685265	SRS7890485
SRR13263133	ancient_metagenome	oral		Homo sapiens	dental calculus	7400.0	48.839	9.227	Weyrich2017	2017	Germany	EuroLBK3	PRJNA685265	SRS7890490
SRR13263116	ancient_metagenome	oral		Homo sapiens	dental calculus	5000.0	15.441	32.381	Weyrich2017	2017	Sudan	Sudan1	PRJNA685265	SRS7890505
SRR13263117	ancient_metagenome	oral		Homo sapiens	dental calculus	5000.0	15.441	32.381	Weyrich2017	2017	Sudan	Sudan2	PRJNA685265	SRS7890503
SRR13263137	ancient_metagenome	oral		Homo sapiens	dental calculus	2300.0			Weyrich2017	2017	South Africa	AfrSF1	PRJNA685265	SRS7890483
SRR13263138	ancient_metagenome	oral		Homo sapiens	dental calculus	3800.0			Weyrich2017	2017	South Africa	AfrSF2	PRJNA685265	SRS7890484
SRR13263126	ancient_metagenome	oral		Homo sapiens	dental calculus	800.0	53.962	-1.075	Weyrich2017	2017	United Kingdom	UrbMed1	PRJNA685265	SRS7890495
SRR13263127	ancient_metagenome	oral		Homo sapiens	dental calculus	800.0	53.962	-1.075	Weyrich2017	2017	United Kingdom	UrbWar2	PRJNA685265	SRS7890492
SRR13263136	ancient_metagenome	oral		Homo sapiens	dental calculus	600.0			Weyrich2017	2017	South Africa	AfrPP2	PRJNA685265	SRS7890486
SRR13263118	ancient_metagenome	oral		Homo sapiens	dental calculus	600.0			Weyrich2017	2017	South Africa	AfrPP1	PRJNA685265	SRS7890504
SRR13263119	ancient_metagenome	oral		Homo sapiens	dental calculus	200.0	51.646	11.512	Weyrich2017	2017	Germany	IndRev1	PRJNA685265	SRS7890501
SRR13263120	ancient_metagenome	oral		Homo sapiens	dental calculus	200.0	51.646	11.512	Weyrich2017	2017	Germany	IndRev2	PRJNA685265	SRS7890502
