project_name	n_runs	community_types	sample_hosts	materials	split
Vassallo2023	2	midden		soil	test
Zimmermann2023	25	ocean		marine sediment	train
Perez2023	30	lake		lake sediment	test
Buchwald2024	42	ocean		marine sediment	test
Murchie2023	8	archeological site		permafrost	train
Liu2024	57	lake		lake sediment	train
Zampirolo2024	11	rock shelter		sediment	train
vonHippel2025	58	lake		lake sediment	train
Schreiber2025	48	ocean		marine sediment	train
Zhou2018	1	oral	Homo sapiens	dental calculus	val
Kirdok2024	70	oral	Homo sapiens	birch pitch	val
Eriksen2025	132	skeletal tissue	Rangifer tarandus	rib	val
Guinet2025	16	skeletal tissue	Mammuthus primigenius, Mammuthus sp.	femur, pelvis complex, scapula, tibia, tooth	val
Poksane2025	10	skeletal tissue	Homo sapiens	bone, tooth	val
