run_accession	decision	original_material	original_host	original_community	corrected_material	corrected_host	corrected_community	reason
SRR16071513	APPROVED	sediment	Not applicable - env sample	Not applicable - env sample	sediment	Not applicable - env sample	Not applicable - env sample	Approved
SRR16071519	APPROVED	sediment	Not applicable - env sample	Not applicable - env sample	sediment	Not applicable - env sample	Not applicable - env sample	Approved
SRR1620017	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1631060	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1631061	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1631063	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1631064	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1633008	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1783758	CORRECTED	Oral	Homo sapiens	oral	subgingival plaque	Homo sapiens	oral	""
SRR1795009	CORRECTED	Oral	Homo sapiens	oral	subgingival plaque	Homo sapiens	oral	""
SRR1795018	CORRECTED	Oral	Homo sapiens	oral	subgingival plaque	Homo sapiens	oral	""
SRR1923770	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1923771	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1923773	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950687	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950688	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950689	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950694	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950695	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950701	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950711	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950716	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950724	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950729	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950730	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950731	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950736	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950744	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950747	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950748	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950749	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950758	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950762	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950768	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950769	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950776	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1950777	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR1952513	CORRECTED	Oral	Homo sapiens	oral	supragingival plaque	Homo sapiens	oral	""
SRR1952567	CORRECTED	Oral	Homo sapiens	oral	supragingival plaque	Homo sapiens	oral	""
SRR1952611	CORRECTED	Oral	Homo sapiens	oral	supragingival plaque	Homo sapiens	oral	""
SRR1952623	CORRECTED	Oral	Homo sapiens	oral	supragingival plaque	Homo sapiens	oral	""
SRR2096701	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR2096702	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR2096703	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR2096704	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR2096705	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR2096706	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR2229976	CORRECTED	Oral	Homo sapiens	oral	dental calculus	Homo sapiens	oral	""
SRR2240834	CORRECTED	Oral	Homo sapiens	oral	supragingival plaque	Homo sapiens	oral	""
SRR2240920	CORRECTED	Oral	Homo sapiens	oral	Supragingival plaque	Homo sapiens	oral	""
SRR3184100	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR3184876	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR3189411	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR3189416	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR3189418	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR3586059	CORRECTED	Oral	Homo sapiens	oral	gingiva	Homo sapiens	oral	""
SRR3586063	CORRECTED	Oral	Homo sapiens	oral	tongue	Homo sapiens	oral	""
SRR3644405	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR5892193	CORRECTED	Oral	Homo sapiens	oral	saliva	Homo sapiens	oral	""
SRR5892198	CORRECTED	Oral	Homo sapiens	oral	saliva	Homo sapiens	oral	""
SRR5892210	CORRECTED	Oral	Homo sapiens	oral	saliva	Homo sapiens	oral	""
SRR5892215	CORRECTED	Oral	Homo sapiens	oral	saliva	Homo sapiens	oral	""
SRR6877303	EXCLUDED	Oral	Homo sapiens	oral				From PRJNA445215 - not a modern sample (ancient dental calculus)
SRR6877312	EXCLUDED	Oral	Homo sapiens	oral				From PRJNA445215 - not a modern sample (ancient dental calculus)
SRR6877316	EXCLUDED	Oral	Homo sapiens	oral				From PRJNA445215 - not a modern sample (ancient dental calculus)
SRR7448290	CORRECTED	Oral	Homo sapiens	oral	saliva	Homo sapiens	oral	""
SRR7448291	CORRECTED	Oral	Homo sapiens	oral	saliva	Homo sapiens	oral	""
SRR7448292	CORRECTED	Oral	Homo sapiens	oral	saliva	Homo sapiens	oral	""
SRR7687997	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR7992620	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR7992621	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR7992810	APPROVED	Skin	Homo sapiens	soft tissue	Skin	Homo sapiens	soft tissue	Approved
SRR988077	APPROVED	soil	Not applicable - env sample	Not applicable - env sample	soil	Not applicable - env sample	Not applicable - env sample	YES
SRR988078	APPROVED	soil	Not applicable - env sample	Not applicable - env sample	soil	Not applicable - env sample	Not applicable - env sample	Approved
SRR988079	APPROVED	soil	Not applicable - env sample	Not applicable - env sample	soil	Not applicable - env sample	Not applicable - env sample	Approved
SRR988082	APPROVED	soil	Not applicable - env sample	Not applicable - env sample	soil	Not applicable - env sample	Not applicable - env sample	Approved
SRR988085	APPROVED	soil	Not applicable - env sample	Not applicable - env sample	soil	Not applicable - env sample	Not applicable - env sample	Approved
SRR988086	APPROVED	soil	Not applicable - env sample	Not applicable - env sample	soil	Not applicable - env sample	Not applicable - env sample	Approved
SRR988087	APPROVED	soil	Not applicable - env sample	Not applicable - env sample	soil	Not applicable - env sample	Not applicable - env sample	Approved
SRR988088	APPROVED	soil	Not applicable - env sample	Not applicable - env sample	soil	Not applicable - env sample	Not applicable - env sample	Approved
SRR988092	APPROVED	soil	Not applicable - env sample	Not applicable - env sample	soil	Not applicable - env sample	Not applicable - env sample	Approved
SRR988094	APPROVED	soil	Not applicable - env sample	Not applicable - env sample	soil	Not applicable - env sample	Not applicable - env sample	ç
SRR988096	APPROVED	soil	Not applicable - env sample	Not applicable - env sample	soil	Not applicable - env sample	Not applicable - env sample	Approved
SRR988097	APPROVED	soil	Not applicable - env sample	Not applicable - env sample	soil	Not applicable - env sample	Not applicable - env sample	Approved
SRR988090	APPROVED	soil	Not applicable - env sample	Not applicable - env sample	soil	Not applicable - env sample	Not applicable - env sample	Approved
SRR988091	APPROVED	soil	Not applicable - env sample	Not applicable - env sample	soil	Not applicable - env sample	Not applicable - env sample	Approved
SRR988095	APPROVED	soil	Not applicable - env sample	Not applicable - env sample	soil	Not applicable - env sample	Not applicable - env sample	Approved
